	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON (is-a)	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id
CLYH:1000031	blastula	embryo		64-cell embryo	early blastula stage	late blastula stage	Organism at the blastula stage - an early stage of embryonic development in animals. It is produced by cleavage of a fertilized ovum and consists of a spherical layer of around 128 cells surrounding a central fluid-filled cavity called the blastocoel.		UBERON:0000307				
CLYH:1000032	early blastula	blastula		64-cell embryo	early blastula stage	early blastula stage	blastula stage embryo before epithelisation. 						
CLYH:1000033	mid blastula	blastula		early blastula	mid blastula stage	mid blastula stage	blastula stage embryo with polarised epithelial cells						
CLYH:1000034	late blasutla	blastula		mid blastula	late blastula stage	late blastula stage	blastula stage embryo with polarised and columnar epithelial cells						
CLYH:1000035	gastrula	embryo		late blasutla	very early gastrula stage	late gastrula stage	Organism at the gastrula stage.		UBERON:0004734				
CLYH:1000036	very early gastrula	gastrula		late blasutla	very early gastrula stage	very early gastrula stage	Visible pointed oral pole but no cell ingression, Ciliogenesis starting.						
CLYH:1000037	early gastrula	gastrula		very early gastrula	early gastrula stage	early gastrula stage	gastrula with a few cells ingressed at pointed oral pole.  Swimming .						
CLYH:1000038	mid gastrula	gastrula		early gastrula	mid gastrula stage	mid gastrula stage	gastrula in which blastotocoel is half filled with ingressing cells . 						
CLYH:1000039	late gastrula	gastrula		mid gastrula	late gastrula stage	late gastrula stage	gastrula in which Blastocoel is full but no epithelisation of internal cells 						
CLYH:1000040	planula larva	multicellular organism		late gastrula	planula P1 stage	settled planula stage	A distinct juvenile form before metamorphosis  with elongated shape and cilliated ectoderm. Ectoderm and endoderm separated by basement membrane		UBERON:0002548				
CLYH:1000041	planula P1	planula larva		late gastrula	planula P1 stage	planula P1 stage	Planula larva showing epithelisation of gastrodermal cells at aboral pole but not orally						
CLYH:1000042	planula P2	planula larva		planula P1	planula P2 stage	planula P2 stage	Planula larva with visible central cavity in gastrodermis, incompetent to metamorphose						
CLYH:1000043	planula P3 	planula larva		planula P2	planula P3 stage	planula P3 stage	Planula larva with all cell types diffrerntiated and  competent to metamorphose						
CLYH:1000044	aged planula	planula larva		planula P3 	aged planula stage	aged planula stage	elongated planula competent to metamorphose , thinner than P3 planula						
CLYH:1000045	metamorphosing planula	multicellular organism		planula larva	settled planula stage	sculpted disc stage	planula larva that has stopped swimming and is transforming into a polyp						
CLYH:1000046	settled planula	metamorphosing planula		planula larva	settled planula stage	settled planula stage	planula larva that has stopped swimming  and fixed to substrate						
CLYH:1000047	blob	metamorphosing planula		settled planula	blob stage	blob stage	metamorphosing larva that has a pear shape 						
CLYH:1000048	disc	metamorphosing planula		blob	disc stage	disc stage	transitory form of planula undergoing metamorphosis a flattened circular form attached to the substrate						
CLYH:1000049	sculpted disc	metamorphosing planula		disc	sculpted disc stage	sculpted disc stage	transitory form of planula undergoing metamorphosis a flattened form attached to the substrate showing irregular indentations  and with small stalk emerging						
GO:0005575	cellular component		cell								GO:0005575		
CLYH:1000050	spindle-associated	cellular component	blastomere		2-cell stage	64-cell stage	region of the cell closely surrounding the mitotoc spindle						
GO:0005938	cell cortex	cellular component	cell										
CLYH:1000051	animal cortex 	cell cortex	cellular component		stage III oocyte growth stage	cleavage period	region inheriting the peripheral region of the egg around the animal pole						
CLYH:1000052	animal cortex of oocyte	animal cortex 	oocyte										
CLYH:1000053	animal cortex of egg cell	animal cortex 	egg cell	animal cortex of oocyte									
CLYH:1000054	vegetal cortex	cell cortex	cellular component			cleavage period	region inheriting the peripheral region of the egg around the vegetal pole						
CLYH:1000055	vegetal cortex of oocyte	vegetal cortex	oocyte		stage III oocyte growth stage	stage III oocyte growth stage	region of a stage III oocyte cortex close to the oocyte nucleus						
CLYH:1000056	vegetal cortex of egg	vegetal cortex	egg cell	vegetal cortex of oocyte			egg cortex region containing the site of polar body formation						
CLYH:1000057	cytoplasm	cellular component	cellular component										
CLYH:1000058	animal cytoplasm	cytoplasm	cellular component										
CLYH:1000059	animal cytoplasm of oocyte	animal cytoplasm	oocyte		stage III oocyte growth stage	stage III oocyte growth stage	region of cytoplasm in a stage III oocyte  in the same hemishere as the nucleus						
CLYH:1000060	animal cytoplasm of egg	animal cytoplasm	egg cell	animal cytoplasm of oocyte			cytoplasm  in egg hemisphere containing site of polar body formation						
CLYH:1000061	vegetal cytoplasm	cytoplasm	cellular component										
CLYH:1000062	vegetal cytoplasm of oocyte	vegetal cytoplasm	oocyte		stage III oocyte growth stage	stage III oocyte growth stage							
CLYH:1000063	vegetal cytoplasm of egg	vegetal cytoplasm	egg cell	vegetal cytoplasm of oocyte									
CLYH:1000064	oral territory	anatomical structure	organism subdivision		2-cell stage	late gastrula stage							
CLYH:1000065	oral pole of embryo	oral territory	embryo										
